1,2,3,4,5,6,7,8,9,time,delta,,,
74,35,291,0,1,1,3,0,0,25.16055373,0,25.1391863,25.16055373,1420
79,36,611,0,1,2,3,0,0,39.84586842,0,39.82869379,39.84586842,1685
44,138,0,0,0,1,2,0,0,85.28614243,0,85.28194147,85.28614243,1340
75,260,409,0,1,1,3,0,0,69.63036963,0,69.62169879,69.63036963,1862
53,1,4,0,1,1,2,0,0,58.71271586,0,58.70092791,58.71271586,1699
60,627,151,0,1,1,2,0,0,55.41601256,0,55.40328337,55.41601256,1655
52,316,976,5,0,2,3,0,0,51.53418011,0,51.52034261,51.53418011,2168
66,0,283,0,1,2,3,0,0,29.92721564,0,29.90720914,29.92721564,1510
42,245,67,1,0,1,2,0,1,58.65563008,0,58.64382584,58.65563008,2965
55,0,21,9,0,3,3,1,0,24.78949622,0,24.76802284,24.78949622,1059
57,0,0,0,1,1,3,0,0,37.76223776,0,37.74446824,37.76223776,1136
49,286,56,0,0,1,3,0,0,36.46353646,0,36.44539615,36.46353646,1415
51,14,0,1,0,2,3,0,0,99.77165691,0,99.77159172,99.77165691,2396
47,142,189,0,0,1,2,0,0,52.51890966,0,52.50535332,52.51890966,1504
61,354,105,0,1,1,3,0,0,36.36363636,0,36.34546752,36.36363636,2279
52,649,190,0,1,1,3,0,0,66.06250892,0,66.05281941,66.06250892,1758
52,147,91,0,1,1,3,0,0,39.94576852,0,39.92862241,39.94576852,2129
61,0,0,0,1,1,3,0,0,47.13857571,0,47.12348323,47.13857571,1422
38,305,70,0,0,1,2,0,0,56.5291851,0,56.51677373,56.5291851,1272
45,114,44,0,0,2,2,0,0,75.25331811,0,75.24625268,75.25331811,1237
56,14,279,1,0,2,3,0,1,40.4738119,0,40.45681656,40.4738119,2071
53,19,93,2,0,2,3,0,1,54.1315827,0,54.1184868,54.1315827,2913
54,7,4,1,1,1,3,0,1,36.29227915,0,36.27408994,36.29227915,1816
73,1776,1553,0,1,1,3,0,0,36.63479378,0,36.61670236,36.63479378,2902
45,55,0,0,0,2,3,0,0,81.90381048,0,81.89864383,81.90381048,2475
66,115,108,0,1,1,3,0,0,46.85314685,0,46.83797288,46.85314685,2466
70,391,253,4,1,2,3,0,0,21.37862138,1,21.35617416,21.37862138,1442
81,6,152,1,1,2,3,0,0,19.00956187,1,18.98643826,19.00956187,1725
78,101,360,0,1,1,3,0,0,35.74996432,0,35.73162027,35.74996432,1334
72,15,18,5,1,2,3,0,0,55.94405594,0,55.93147752,55.94405594,1980
47,957,197,0,0,1,2,0,0,53.76052519,0,53.74732334,53.76052519,1767
59,69,73,2,1,2,3,1,0,31.0118453,0,30.99214847,31.0118453,2765
64,541,541,0,1,1,2,0,0,28.74268589,0,28.72234118,28.74268589,2913
68,0,7,0,1,2,3,0,0,71.81390039,0,71.80585296,71.81390039,2356
55,121,407,0,0,1,3,0,0,41.21592693,0,41.19914347,41.21592693,1506
50,465,58,1,0,2,3,0,1,41.24446982,0,41.2276945,41.24446982,1897
69,5,6,8,1,2,2,1,0,26.15955473,0,26.13847252,26.15955473,1900
61,7,600,0,1,1,3,0,0,52.94705295,0,52.93361884,52.94705295,1745
47,0,0,0,0,1,3,0,0,38.7755102,0,38.75802998,38.7755102,1014
35,153,80,0,0,1,2,0,0,25.75995433,0,25.73875803,25.75995433,1491
42,0,0,0,0,2,3,0,0,57.1285857,0,57.11634547,57.1285857,2740
59,581,197,0,1,3,3,0,0,53.87469673,0,53.86152748,53.87469673,1572
40,0,0,0,0,2,2,0,0,33.95176252,0,33.93290507,33.95176252,2517
